alg,num-taxa,gene-trees,replicate,sb,spmin,spmax,rf-rate,running-time-s,max-cpu-mb,max-gpu-mb,gt-gt,gt-st
stelar,100,100,R1,0.000001,50000,1000000,0.1031,2.169,248.465,0.000,74.1237,58.5567
stelar,100,100,R2,0.000001,50000,1000000,0.0515,0.586,234.078,20.480,,
stelar,100,100,R3,0.000001,50000,1000000,0.0103,0.538,215.488,83.968,,
stelar,100,100,R4,0.000001,50000,1000000,0.1649,0.649,252.148,10.240,,
stelar,100,100,R5,0.000001,50000,1000000,0.0825,0.626,244.793,10.240,,
astral,100,100,R1,0.000001,50000,1000000,0.0825,3.064,458.625,107.520,74.1237,58.5567
astral,100,100,R2,0.000001,50000,1000000,0.0619,2.861,400.695,107.520,,
astral,100,100,R3,0.000001,50000,1000000,0.0103,2.295,383.805,107.520,,
astral,100,100,R4,0.000001,50000,1000000,0.0619,3.226,463.730,107.520,,
astral,100,100,R5,0.000001,50000,1000000,0.0619,2.840,459.961,107.520,,
tree-qmc,100,100,R1,0.000001,50000,1000000,0.0928,3.393,12.121,0.000,74.1237,58.5567
tree-qmc,100,100,R2,0.000001,50000,1000000,0.0515,3.566,12.289,0.000,,
tree-qmc,100,100,R3,0.000001,50000,1000000,0.0103,3.434,12.320,0.000,,
tree-qmc,100,100,R4,0.000001,50000,1000000,0.0722,3.715,12.352,0.000,,
tree-qmc,100,100,R5,0.000001,50000,1000000,0.0515,3.637,12.574,0.000,,
wqfm-tree,100,100,R1,0.000001,50000,1000000,0.0928,3.437,354.141,0.000,74.1237,58.5567
wqfm-tree,100,100,R2,0.000001,50000,1000000,0.0515,3.145,296.824,0.000,,
wqfm-tree,100,100,R3,0.000001,50000,1000000,0.0103,2.300,296.645,0.000,,
wqfm-tree,100,100,R4,0.000001,50000,1000000,0.0619,3.907,362.527,0.000,,
wqfm-tree,100,100,R5,0.000001,50000,1000000,0.0515,3.145,356.484,0.000,,
