folder,inner_folder,replicate,execution_time,computation_mode
37-taxon,estimated-genetrees/1X-200-500,R1,1.139326,CPU_SINGLE
37-taxon,estimated-genetrees/1X-200-500,R1,0.530604,CPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R1,2.637619,GPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R2,1.121065,CPU_SINGLE
37-taxon,estimated-genetrees/1X-200-500,R2,0.498743,CPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R2,0.655771,GPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R3,0.558048,CPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R3,0.668410,GPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R4,1.193424,CPU_SINGLE
37-taxon,estimated-genetrees/1X-200-500,R4,0.522824,CPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R4,0.666817,GPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R5,1.204282,CPU_SINGLE
37-taxon,estimated-genetrees/1X-200-500,R5,0.510913,CPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R5,0.668245,GPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R6,1.137176,CPU_SINGLE
37-taxon,estimated-genetrees/1X-200-500,R6,0.493625,CPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R6,0.727764,GPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R7,1.170075,CPU_SINGLE
37-taxon,estimated-genetrees/1X-200-500,R7,0.560501,CPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R7,0.711104,GPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R8,1.190785,CPU_SINGLE
37-taxon,estimated-genetrees/1X-200-500,R8,0.513813,CPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R9,1.177605,CPU_SINGLE
37-taxon,estimated-genetrees/1X-200-500,R9,0.629216,CPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R9,0.709769,GPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R10,1.162401,CPU_SINGLE
37-taxon,estimated-genetrees/1X-200-500,R10,0.555991,CPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R10,0.740307,GPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R11,1.085077,CPU_SINGLE
37-taxon,estimated-genetrees/1X-200-500,R11,0.494375,CPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R11,0.746333,GPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R12,1.133463,CPU_SINGLE
37-taxon,estimated-genetrees/1X-200-500,R12,0.617450,CPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R12,0.734339,GPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R13,1.204356,CPU_SINGLE
37-taxon,estimated-genetrees/1X-200-500,R13,0.532891,CPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R13,0.701034,GPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R14,1.187204,CPU_SINGLE
37-taxon,estimated-genetrees/1X-200-500,R14,0.533218,CPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R14,0.732782,GPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R15,1.152768,CPU_SINGLE
37-taxon,estimated-genetrees/1X-200-500,R15,0.506741,CPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R15,0.722582,GPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R16,1.140567,CPU_SINGLE
37-taxon,estimated-genetrees/1X-200-500,R16,0.516264,CPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R16,0.728813,GPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R17,1.170569,CPU_SINGLE
37-taxon,estimated-genetrees/1X-200-500,R17,0.587954,CPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R17,0.754391,GPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R18,1.211989,CPU_SINGLE
37-taxon,estimated-genetrees/1X-200-500,R18,0.598706,CPU_PARALLEL
37-taxon,estimated-genetrees/1X-200-500,R18,0.736053,GPU_PARALLEL
200-taxon,inner200,R1,11.093225,GPU_PARALLEL
200-taxon,inner200,R2,8.557103,GPU_PARALLEL
200-taxon,inner200,R3,8.293003,GPU_PARALLEL
200-taxon,inner200,R4,10.439379,GPU_PARALLEL
100-taxon,inner100,R1,3.249429,GPU_PARALLEL
100-taxon,inner100,R2,2.042405,GPU_PARALLEL
100-taxon,inner100,R3,2.669136,GPU_PARALLEL
200-taxon,inner200,R5,10.681002,GPU_PARALLEL
200-taxon,inner200,R6,9.896936,GPU_PARALLEL
200-taxon,inner200,R7,8.569083,GPU_PARALLEL
200-taxon,inner200,R8,13.426400,GPU_PARALLEL
200-taxon,inner200,R9,8.370938,GPU_PARALLEL
200-taxon,inner200,R10,8.950788,GPU_PARALLEL
