alg,folder,inner_folder,replicate,rf-rate,running-time-s,max-cpu-mb,max-gpu-mb,exit-code
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/200-gt,R10,0.1713,4.098,875.684,111.616,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/200-gt,R14,0.1202,4.701,912.977,113.664,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/200-gt,R7,0.1733,4.629,903.383,113.664,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/200-gt,R6,0.4679,13.814,1136.746,119.808,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/200-gt,R12,0.1313,4.664,882.090,113.664,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/200-gt,R17,0.1543,5.443,933.602,113.664,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/200-gt,R13,0.1934,6.947,1021.082,115.712,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/200-gt,R2,0.3697,7.082,954.734,113.664,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/200-gt,R5,0.1784,4.179,908.254,111.616,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/200-gt,R16,0.3307,8.122,1075.695,115.712,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/200-gt,R1,0.1313,4.162,911.152,111.616,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/200-gt,R9,0.1343,4.932,926.023,113.664,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/200-gt,R15,0.1393,5.288,933.047,113.664,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/200-gt,R3,0.1162,4.023,908.500,111.616,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/200-gt,R20,0.1283,5.177,927.762,113.664,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/200-gt,R4,0.1663,7.263,1065.703,115.712,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/200-gt,R19,0.1503,4.320,908.496,111.616,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/200-gt,R8,0.4569,11.983,1113.238,119.808,0
stelar,1000-taxon,estimated-genetrees/model.1000.2000000.0.000001/200-gt,R11,0.3377,6.670,995.645,113.664,0
