alg,num-taxa,gene-trees,replicate,sb,spmin,spmax,rf-rate,running-time-s,max-cpu-mb,max-gpu-mb,gt-gt,gt-st
stelar,10000,1000,R1,0.000001,100000,150000,0.0056,940.196,15499.590,2765.824,25.6857,17.7233
stelar,10000,1000,R1,0.000001,100000,200000,0.0070,2348.602,17142.254,3699.712,31.8185,22.1687
stelar,10000,1000,R1,0.000001,100000,250000,0.0090,4954.095,18177.223,4470.784,37.7523,26.6500
stelar,10000,1000,R1,0.000001,100000,300000,0.0099,9102.599,19227.062,5476.352,42.7808,30.6752
stelar,10000,1000,R1,0.000001,50000,150000,0.0049,913.391,15156.570,2746.368,24.7544,17.1151
stelar,10000,1000,R1,0.000001,50000,200000,0.0078,2335.977,16480.203,3682.304,31.2894,21.9566
stelar,10000,1000,R1,0.000001,50000,250000,0.0109,5029.949,17879.738,4446.208,37.3652,26.4299
stelar,10000,1000,R1,0.000001,50000,300000,0.0099,9199.389,19220.504,5430.272,42.5428,30.4931
stelar,10000,2000,R1,0.000001,100000,150000,0.0041,1918.991,19584.434,5351.424,25.6857,17.7233
stelar,10000,2500,R1,0.000001,100000,150000,0.0041,2020.297,22062.121,5844.992,25.6857,17.7233
stelar,10000,5000,R1,0.000001,100000,150000,0.0038,3682.449,34713.297,6290.432,25.6857,17.7233
stelar,1000,1000,R1,0.000001,100000,1000000,0.0191,44.709,1749.848,1725.440,77.1414,62.0060
stelar,1000,1000,R1,0.000001,100000,1200000,0.0802,57.094,1901.266,1750.016,80.8826,67.0411
stelar,1000,1000,R1,0.000001,100000,1500000,0.1715,75.308,2279.492,2210.816,85.1454,73.4804
stelar,1000,1000,R1,0.000001,100000,150000,0.0040,1.970,1015.809,1586.176,22.2166,15.3059
stelar,1000,1000,R1,0.000001,100000,200000,0.0040,2.628,,,28.0943,19.1374
stelar,1000,1000,R1,0.000001,100000,250000,0.0060,3.293,,,36.4694,25.8776
stelar,1000,1000,R1,0.000001,100000,300000,0.0090,4.084,,,41.1635,28.5657
stelar,1000,1000,R1,0.000001,100000,350000,0.0080,9.112,1623.594,3771.392,44.4935,31.6750
stelar,1000,1000,R1,0.000001,100000,400000,0.0060,6.468,,,49.8897,35.9478
stelar,1000,1000,R1,0.000001,100000,500000,0.0100,11.504,,,57.2417,41.8255
stelar,1000,1000,R1,0.000001,10000,1000000,0.0211,44.071,1919.875,1725.440,77.1214,61.9860
stelar,1000,1000,R1,0.000001,10000,1200000,0.0391,55.939,1875.879,1750.016,80.9629,67.0812
stelar,1000,1000,R1,0.000001,10000,1500000,0.1394,73.244,2154.492,1778.688,85.1053,73.5406
stelar,1000,1000,R1,0.000001,10000,150000,0.0050,2.115,1173.625,1573.888,21.9860,14.9649
stelar,1000,1000,R1,0.000001,10000,200000,0.0060,2.395,1282.332,1573.888,28.1344,19.2377
stelar,1000,1000,R1,0.000001,10000,250000,0.0060,3.188,1263.566,1584.128,35.3360,24.6941
stelar,1000,1000,R1,0.000001,10000,300000,0.0070,3.765,1361.645,1592.320,41.2036,28.6660
stelar,1000,1000,R1,0.000001,10000,500000,0.0090,10.498,1500.629,1631.232,57.5025,42.4473
stelar,1000,1000,R1,0.000001,50000,1000000,0.0221,44.313,1804.770,1725.440,77.1214,61.9860
stelar,1000,1000,R1,0.000001,50000,1200000,0.0341,56.316,1990.492,1750.016,81.6349,68.0843
stelar,1000,1000,R1,0.000001,50000,1500000,0.0883,73.759,2058.219,1778.688,85.2457,73.5607
stelar,1000,1000,R1,0.000001,50000,150000,0.0040,1.974,1024.109,1587.200,21.6851,14.9850
stelar,1000,1000,R1,0.000001,50000,200000,0.0050,2.502,1108.039,1587.200,28.1645,19.2778
stelar,1000,1000,R1,0.000001,50000,250000,0.0030,3.128,1197.191,1597.440,36.1184,25.5968
stelar,1000,1000,R1,0.000001,50000,300000,0.0050,3.910,1287.734,1605.632,40.9127,28.1645
stelar,1000,1000,R1,0.000001,50000,350000,0.0070,4.740,1283.555,1152.000,44.5436,31.5948
stelar,1000,1000,R1,0.000001,50000,400000,0.0060,5.912,1312.836,1164.288,47.7934,34.7242
