alg,num-taxa,gene-trees,replicate,sb,spmin,spmax,rf-rate,running-time-s,max-cpu-mb,max-gpu-mb,gt-gt,gt-st
stelar,10000,1000,R1,0.000001,100000,150000,0.0056,68.123,12123.141,491.520,25.6857,17.7233
stelar,10000,1000,R1,0.000001,100000,200000,0.0070,87.321,11047.477,497.664,31.8185,22.1687
stelar,10000,1000,R1,0.000001,100000,250000,0.0088,121.611,11538.922,501.760,37.7523,26.6500
stelar,10000,1000,R1,0.000001,100000,300000,0.0100,182.682,12451.766,514.048,42.7808,30.6752
stelar,15000,1000,R1,0.000001,100000,150000,0.0056,147.249,16030.711,534.528,24.9463,17.1608
stelar,15000,1000,R1,0.000001,100000,200000,0.0066,200.623,16413.781,538.624,31.6310,21.9311
stelar,15000,1000,R1,0.000001,100000,250000,0.0085,294.763,16454.352,550.912,36.9834,25.9959
stelar,15000,1000,R1,0.000001,100000,300000,0.0114,443.334,16542.801,565.248,42.6732,30.5101
stelar,20000,1000,R1,0.000001,100000,150000,0.0049,339.713,17530.172,579.584,25.3133,17.3706
stelar,20000,1000,R1,0.000001,100000,200000,0.0073,563.792,18945.676,591.872,31.6602,22.0093
stelar,20000,1000,R1,0.000001,100000,250000,0.0088,999.842,19319.742,606.208,37.6451,26.5670
stelar,20000,1000,R1,0.000001,100000,300000,0.0106,1715.539,18463.492,628.736,42.8934,30.5826
stelar,25000,1000,R1,0.000001,100000,150000,0.0058,647.356,17452.031,624.640,25.5043,17.6573
stelar,25000,1000,R1,0.000001,100000,200000,0.0076,1176.499,18659.977,638.976,31.8894,22.3163
stelar,25000,1000,R1,0.000001,100000,250000,0.0085,2142.889,19913.234,659.456,37.4881,26.4080
stelar,25000,1000,R1,0.000001,100000,300000,0.0094,3733.869,20318.375,681.984,43.0520,30.8365
